ID,LABEL
1600,0
1601,1
1602,1
1603,0
1604,0
1605,1
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,1
1616,0
1617,0
1618,0
1619,0
1620,1
1621,0
1622,1
1623,0
1624,1
1625,0
1626,0
1627,1
1628,1
1629,0
1630,0
1631,0
1632,1
1633,0
1634,0
1635,1
1636,0
1637,0
1638,1
1639,1
1640,0
1641,0
1642,1
1643,1
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,1
1653,0
1654,0
1655,1
1656,0
1657,1
1658,1
1659,0
1660,0
1661,0
1662,0
1663,0
1664,1
1665,0
1666,0
1667,0
1668,1
1669,1
1670,0
1671,0
1672,0
1673,1
1674,1
1675,1
1676,0
1677,1
1678,0
1679,0
1680,0
1681,0
1682,0
1683,1
1684,0
1685,0
1686,0
1687,0
1688,1
1689,0
1690,0
1691,0
1692,1
1693,0
1694,1
1695,0
1696,1
1697,0
1698,0
1699,0
1700,1
1701,0
1702,0
1703,0
1704,0
1705,0
1706,1
1707,0
1708,1
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,1
1717,0
1718,0
1719,1
1720,0
1721,0
1722,1
1723,0
1724,0
1725,0
1726,1
1727,1
1728,0
1729,0
1730,1
1731,1
1732,0
1733,0
1734,0
1735,1
1736,0
1737,1
1738,0
1739,1
1740,0
1741,0
1742,1
1743,1
1744,0
1745,0
1746,0
1747,1
1748,1
1749,0
1750,1
1751,0
1752,1
1753,0
1754,0
1755,1
1756,0
1757,0
1758,0
1759,0
1760,0
1761,1
1762,1
1763,0
1764,0
1765,0
1766,1
1767,1
1768,1
1769,0
1770,0
1771,0
1772,0
1773,0
1774,1
1775,1
1776,0
1777,1
1778,0
1779,0
1780,1
1781,0
1782,1
1783,1
1784,1
1785,0
1786,1
1787,0
1788,1
1789,1
1790,0
1791,1
1792,0
1793,1
1794,1
1795,0
1796,1
1797,0
1798,0
1799,0
1800,1
1801,0
1802,1
1803,1
1804,0
1805,1
1806,0
1807,0
1808,0
1809,0
1810,0
1811,1
1812,1
1813,1
1814,1
1815,1
1816,0
1817,0
1818,0
1819,0
1820,0
1821,1
1822,0
1823,1
1824,0
1825,0
1826,0
1827,0
1828,1
1829,1
1830,0
1831,0
1832,1
1833,0
1834,0
1835,0
1836,0
1837,1
1838,1
1839,1
1840,0
1841,1
1842,0
1843,1
1844,0
1845,0
1846,0
1847,0
1848,0
1849,1
1850,0
1851,1
1852,0
1853,1
1854,0
1855,1
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,1
1863,0
1864,0
1865,1
1866,0
1867,0
1868,0
1869,0
1870,0
1871,1
1872,0
1873,1
1874,1
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,1
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,1
1891,0
1892,1
1893,1
1894,0
1895,0
1896,0
1897,1
1898,1
1899,1
1900,0
1901,0
1902,1
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,1
1911,0
1912,0
1913,1
1914,1
1915,1
1916,0
1917,0
1918,1
1919,1
1920,0
1921,1
1922,1
1923,0
1924,0
1925,0
1926,1
1927,0
1928,0
1929,0
1930,0
1931,0
1932,1
1933,0
1934,0
1935,0
1936,1
1937,0
1938,0
1939,1
1940,1
1941,1
1942,1
1943,1
1944,0
1945,0
1946,0
1947,1
1948,0
1949,1
1950,0
1951,0
1952,0
1953,0
1954,0
1955,1
1956,0
1957,1
1958,0
1959,0
1960,0
1961,1
1962,1
1963,0
1964,0
1965,1
1966,0
1967,0
1968,1
1969,0
1970,0
1971,1
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,1
1981,1
1982,0
1983,1
1984,0
1985,1
1986,0
1987,0
1988,1
1989,1
1990,0
1991,0
1992,0
1993,1
1994,0
1995,1
1996,1
1997,0
1998,0
2000,1
2001,0
2002,0
2003,1
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,1
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,1
2021,1
2022,1
2023,0
2024,0
2025,0
2026,0
2027,0
2028,1
2029,1
2030,1
2031,0
2032,1
2033,0
2034,1
2035,1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,0
2042,0
2043,0
2044,0
2045,1
2046,0
2047,1
2048,1
2049,0
2050,1
2051,0
2052,1
2053,0
2054,1
2055,1
2056,0
2057,1
2058,1
2059,0
2060,1
2061,0
2062,1
2063,1
2064,0
2065,0
2066,0
2067,1
2068,1
2069,0
2070,0
2071,0
2072,1
2073,0
2074,0
2075,0
2076,1
2077,1
2078,1
2079,1
2080,1
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,1
2088,0
2089,1
2090,0
2091,1
2092,0
2093,0
2094,0
2095,1
2096,0
2097,0
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,0
2105,0
2106,1
2107,0
2108,1
2109,0
2110,0
2111,0
2112,1
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,1
2120,1
2121,1
2122,1
2123,1
2124,0
2125,0
2126,0
2127,1
2128,1
2129,1
2130,1
2131,0
2132,0
2133,0
2134,1
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,1
2143,1
2144,0
2145,0
2146,0
2147,1
2148,1
2149,1
2150,0
2151,1
2152,0
2153,0
2154,1
2155,1
2156,1
2157,0
2158,1
2159,1
2160,0
2161,0
2162,1
